Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
DCCM - OnPremisses,PMWSRV0000250,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.023,0.0,0.0,0.0,0.0
DCCM - OnPremisses,RJ2K12ATAGWP01,Hyper-V,defaultBackupSet,VM-PVWAPP0000256-ADGSAT,#STP_DATACENTER_VM_01,Primary,0.033,0.0,0.0,0.0,0.0
DCCM - OnPremisses,ACILNXLAB01,VMware,defaultBackupSet,GSATRJ_VM_DT_VOLACI,#STP_DATACENTER_VM_01,Primary,0.006,0.0,0.013,0.013,0.002
AWS - Glacier,JBPAINFCL052,JBPAINFCL052(Analysis Services),defaultBackupSet,JBPAINFCL052/FULL,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPAINFCL052,JBPAINFCL052(Analysis Services),defaultBackupSet,JBPAINFCL052/FULL,#_STP_GCP_SQL_DB,Primary,0.015,0.0,0.015,0.015,0.001
DCCM - OnPremisses,LQPBFBRSR003,VMware,defaultBackupSet,Cluster_HC380,#STP_DATACENTER_VM_01,Primary,0.017,0.0,0.0,0.0,0.0
DCCM - OnPremisses,SRVSPPBFBR001,VMware,defaultBackupSet,MAMEsp,#STP_DATACENTER_VM_01,Primary,0.017,0.0,0.017,0.017,0.002
DCCM - OnPremisses,JBPAINFCL041,JBPAINFCL041\MSGBOX,defaultBackupSet,JBPAINFCL041/FULL,#STP_DATACENTER_DB_01,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,JBPAINFCL041,JBPAINFCL041\MSGBOX,defaultBackupSet,JBPAINFCL041/FULL,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPAINFCL041,JBPAINFCL041\MSGBOX,defaultBackupSet,JBPAINFCL041/FULL,#_STP_GCP_SQL_DB,Primary,0.0,0.0,0.0,0.0,0.0
